search term, traffic, iphone difficulty, ipad difficulty
smilebox, 2.0, 7.9, 8.6
lomotif, 5.4, 9.2, 9.5
animoto, 3.4, 8.3, 8.3
input, 1.7, 9.4, 9.4
slideshow, 4.4, 8.6, 8.1
vivavideo, 3.7, 8.6, 8.3
flipagram, 4.9, 9.1, 9.1
slides, 6.1, 9.1, 9.5
videoshop, 4.5, 8.8, 8.9
birthday, 3.6, 7.4, 6.6
rotation, 1.5, 4.6, 6.9
montage, 2.8, 8, 7.8
boardgamegeek, 1.6, 4.5, 4.1
dac, 2.3, 9.5, 8.8
lomo, 1.6, 7.6, 8.7
timbre, 1.9, 8.7, 9.1
collage, 5.8, 8.5, 9.5
stare, 1.6, 8.7, 9.1
father, 2.2, 7.9, 7.7
favebook, 4.1, 9.3, 9.4
photolab, 3.7, 6.6, 7.4
kwai, 5.9, 8.9, 8.4
output, 1.9, 7.7, 9.2
inshot, 7.0, 9.1, 9
shower, 2.4, 7.4, 8.6
moviemaker, 2.0, 8.7, 8.2
happiness, 1.9, 7.7, 7.5
happier, 2.5, 7.7, 8.4
motion, 4.2, 7.7, 7.9
purchased, 3.0, 9.1, 8.8
myspace, 4.8, 8.7, 7.1
meta, 5.5, 9.5, 9.5
fb, 5.8, 9.5, 9.5
florida, 2.7, 4.5, 6.6
setting, 3.6, 8.6, 9.1
lab, 3.2, 6.3, 6
audio, 4.5, 9, 8.8
df, 2.2, 9.5, 8.8
textedit, 2.2, 9.5, 8.8
abm, 2.2, 9.5, 9.4
collagemaker, 2.2, 9, 9.5
create, 4.0, 8.2, 7.2
photography, 4.0, 7.6, 8.9
face, 5.5, 8.8, 8.3
movies, 5.9, 9.3, 9.5
picasso, 2.4, 7.3, 8
text, 6.6, 8.3, 8.9
photoframe, 2.0, 8.7, 7.4
moviepass, 1.5, 9.1, 9.5
ncs, 1.8, 9, 9.4
music, 7.4, 9.3, 9.3
musket, 1.6, 9, 8.8
textfree, 5.7, 8.4, 8.4
maker, 3.5, 8.5, 8.5
picture, 4.5, 9.5, 9.2
amerigo, 4.5, 9.5, 9.5
editing, 4.8, 9.4, 9.3
bugs, 2.9, 6.9, 6.2
collection, 2.5, 7.3, 8.1
video, 5.5, 8.7, 9.4
photoeditor, 2.3, 8.9, 9
peru, 1.7, 6.7, 9
netease, 3.3, 8.1, 8.2
aviary, 3.6, 8.8, 9.2
pic, 4.6, 9.5, 8.5
ap, 4.2, 9.5, 9.3
apps, 5.2, 9.5, 9.5
argos, 1.7, 9.5, 9.2
edit, 5.5, 9.3, 9.2
photo, 5.9, 9.1, 9
